,champion,role,winRate,playPercent,banRate,experience,kills,death,assist,largestKillingSpree,totalDamageDealtToChampions,totalDamageTaken,totalHeal,minionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,goldEarned,overallPosition
171,Urgot,Top,0.5199,0.043899999999999995,0.0116,3.89,6.84,5.64,5.55,8,19137,24797,2915,171.6,1.52,2.53,11779,9
172,Varus,ADC,0.5041,0.08650000000000001,0.0014000000000000002,5.72,7.59,6.49,7.5,11,20195,19041,3321,190.5,2.52,9.26,12911,11
173,Vayne,ADC,0.5132,0.23190000000000002,0.0254,8.22,8.58,6.94,5.9,12,21297,20324,3369,184.2,2.41,8.0,12892,3
174,Veigar,Middle,0.5354,0.0492,0.0042,4.5,7.92,6.22,6.4,11,22036,17927,1742,173.5,1.62,6.59,12142,6
175,Veigar,Support,0.4866,0.0129,0.0042,7.59,6.06,7.26,9.63,8,17944,17518,1446,54.5,0.88,2.33,11125,24
176,VelKoz,Middle,0.526,0.0255,0.0009,8.48,6.92,6.13,7.88,9,24031,17398,1808,161.8,1.14,5.16,11647,14
177,VelKoz,Support,0.49579999999999996,0.0195,0.0009,9.42,5.3,6.81,10.44,8,22014,16818,1426,47.0,0.65,1.61,11010,19
178,Vi,Jungle,0.5125,0.0406,0.0007000000000000001,4.95,6.87,6.17,7.21,10,14783,25261,6782,40.6,7.59,72.16,11408,32
179,Viktor,Middle,0.47850000000000004,0.0345,0.0003,5.56,6.26,6.11,6.49,10,22025,17281,1670,177.7,1.75,8.22,11655,32
180,Vladimir,Middle,0.5147999999999999,0.0341,0.0139,6.72,6.52,5.93,6.34,9,22785,29336,20692,174.2,1.47,3.24,11420,19
181,Vladimir,Top,0.49570000000000003,0.0223,0.0139,7.62,5.28,5.98,5.82,8,21614,29391,20772,179.5,1.29,2.49,11270,17
182,Volibear,Jungle,0.4919,0.0073,0.0002,4.28,6.15,5.62,8.32,7,13789,34664,7053,43.9,5.84,64.22,11035,37
183,Volibear,Top,0.47840000000000005,0.0038,0.0002,5.03,5.85,5.82,6.13,7,16275,32614,2525,153.6,1.77,2.75,11083,47
184,Warwick,Jungle,0.5274,0.0548,0.0048,5.7,7.46,6.28,7.64,9,14183,35391,15702,41.7,7.66,65.79,11412,13
185,Wukong,Jungle,0.5146999999999999,0.0146,0.0011,6.62,8.08,6.03,6.85,10,17574,26202,8290,49.7,6.68,67.59,11754,25
186,Wukong,Top,0.5357,0.021099999999999997,0.0011,7.03,7.87,6.12,5.57,10,19974,21925,2577,158.1,1.69,3.1,11751,29
187,Xayah,ADC,0.49700000000000005,0.1413,0.0179,5.48,7.45,6.35,7.01,11,21377,18742,3130,191.9,2.47,8.47,12821,8
188,Xerath,Middle,0.5411,0.0305,0.0006,5.41,6.98,5.44,8.57,10,25069,15649,1478,171.0,1.28,6.45,11881,5
189,Xerath,Support,0.5147999999999999,0.0052,0.0006,12.29,5.36,6.37,11.25,7,22056,15247,1172,53.4,0.67,1.66,11197,9
190,XinZhao,Jungle,0.5485,0.0455,0.0054,4.14,7.3,6.13,6.78,11,16866,30615,13045,44.4,8.93,68.4,11612,8
191,XinZhao,Top,0.5047999999999999,0.0083,0.0054,7.26,6.44,6.81,5.08,8,18870,27785,7220,156.6,2.84,4.64,11385,44
192,Yasuo,Middle,0.4777,0.0977,0.0437,11.26,7.09,7.57,5.27,11,18163,21772,2089,178.6,3.95,6.61,12079,20
193,Yasuo,Top,0.4867,0.0984,0.0437,10.92,6.11,7.41,4.66,10,17800,22145,2039,191.0,3.69,5.55,12079,2
194,Yorick,Top,0.5454,0.030600000000000002,0.0024,5.72,5.0,5.51,4.9,8,19592,27971,5848,187.1,1.57,1.82,11611,14
195,Zac,Jungle,0.4941,0.0304,0.0033,5.64,4.31,4.57,11.39,7,11872,35228,26085,37.4,4.78,63.18,10348,28
196,Zed,Middle,0.5056,0.1588,0.0616,6.7,9.49,6.61,5.37,11,22017,21449,3288,164.0,1.85,4.49,12226,1
197,Ziggs,Middle,0.521,0.0268,0.0004,5.1,6.04,6.09,7.66,8,24144,16772,1434,174.3,1.58,7.01,11820,21
198,Zilean,Middle,0.5477000000000001,0.008100000000000001,0.0007000000000000001,8.4,4.37,4.64,10.41,6,17687,19941,8505,166.1,1.13,5.28,11051,24
199,Zilean,Support,0.5095000000000001,0.0187,0.0007000000000000001,7.05,2.95,5.47,13.61,6,12739,17212,6851,41.3,0.38,0.72,10377,15
200,Zyra,Support,0.5007,0.037200000000000004,0.0016,7.06,4.15,6.78,11.16,8,20991,16767,1346,40.6,0.57,1.1,10773,20
